      Step     Time          Energy         fmax
BFGS:    0 17:32:22     -997.754943        0.2173
BFGS:    1 18:19:43     -997.761179        0.2106
BFGS:    2 19:26:44     -997.780231        0.1884
BFGS:    3 20:24:35     -997.797795        0.1673
BFGS:    4 21:30:53     -997.814016        0.1444
BFGS:    5 22:34:23     -997.828984        0.1232
BFGS:    6 23:30:23     -997.842725        0.1041
BFGS:    7 00:27:54     -997.855269        0.1038
BFGS:    8 01:21:27     -997.866675        0.1057
BFGS:    9 02:15:45     -997.876910        0.1069
BFGS:   10 03:06:49     -997.885915        0.1054
BFGS:   11 03:53:43     -997.893668        0.1025
BFGS:   12 04:43:28     -997.900206        0.0978
BFGS:   13 05:52:39     -997.905417        0.0919
BFGS:   14 06:55:02     -997.909339        0.0842
BFGS:   15 07:48:46     -997.912072        0.0739
BFGS:   16 08:44:19     -997.913730        0.0588
BFGS:   17 09:45:05     -997.914416        0.0414
