      Step     Time          Energy         fmax
BFGS:    0 14:45:53     -195.140134        0.0807
BFGS:    1 15:24:28     -195.141210        0.0802
BFGS:    2 16:34:51     -195.150306        0.0761
BFGS:    3 17:43:04     -195.158962        0.0720
BFGS:    4 18:48:55     -195.167183        0.0680
BFGS:    5 22:01:11     -195.174086        0.0640
BFGS:    6 22:15:45     -195.181381        0.0598
BFGS:    7 23:22:58     -195.188233        0.0556
BFGS:    8 00:39:07     -195.194653        0.0517
BFGS:    9 01:54:23     -195.200669        0.0480
