      Step     Time          Energy         fmax
BFGS:    0 07:39:22     -997.754943        0.2173
BFGS:    1 08:19:08     -997.767383        0.2100
BFGS:    2 09:20:19     -997.804687        0.1872
BFGS:    3 10:12:15     -997.838120        0.1660
BFGS:    4 11:00:02     -997.867933        0.1415
BFGS:    5 11:58:36     -997.894108        0.1180
BFGS:    6 12:46:54     -997.916361        0.0962
BFGS:    7 13:42:23     -997.934415        0.0763
BFGS:    8 14:39:29     -997.948222        0.0576
BFGS:    9 15:34:51     -997.957868        0.0427
