      Step     Time          Energy         fmax
BFGS:    0 17:37:30     -195.140134        0.0807
BFGS:    1 18:17:12     -195.142283        0.0802
BFGS:    2 19:16:08     -195.160085        0.0761
BFGS:    3 19:51:00     -195.176455        0.0720
BFGS:    4 20:02:02     -195.191437        0.0678
BFGS:    5 20:29:13     -195.204040        0.0636
BFGS:    6 20:38:46     -195.216242        0.0591
BFGS:    7 20:57:31     -195.227119        0.0545
BFGS:    8 21:06:48     -195.236741        0.0501
BFGS:    9 21:17:07     -195.245179        0.0459
