      Step     Time          Energy         fmax
BFGS:    0 14:09:42    -3708.807183        0.0908
BFGS:    1 15:51:09    -3708.809371        0.0901
BFGS:    2 19:34:50    -3708.824887        0.0906
BFGS:    3 23:29:03    -3708.837876        0.1069
BFGS:    4 03:13:07    -3708.848301        0.1265
BFGS:    5 06:45:22    -3708.856367        0.1378
BFGS:    6 10:28:50    -3708.862557        0.1431
BFGS:    7 13:40:57    -3708.867104        0.1317
BFGS:    8 17:00:53    -3708.870720        0.1085
BFGS:    9 20:10:41    -3708.874113        0.0878
BFGS:   10 23:06:51    -3708.877717        0.0958
BFGS:   11 02:28:14    -3708.881501        0.1025
BFGS:   12 06:10:40    -3708.885352        0.1058
BFGS:   13 09:20:54    -3708.889128        0.1079
BFGS:   14 12:32:39    -3708.892876        0.1093
BFGS:   15 15:45:03    -3708.896663        0.1102
BFGS:   16 18:43:34    -3708.900998        0.1112
BFGS:   17 21:44:55    -3708.905896        0.1111
BFGS:   18 00:44:37    -3708.911391        0.1124
BFGS:   19 03:33:23    -3708.916931        0.1128
BFGS:   20 06:22:43    -3708.922360        0.1125
BFGS:   21 09:11:21    -3708.927520        0.1157
BFGS:   22 11:57:58    -3708.932516        0.1181
BFGS:   23 14:48:35    -3708.937401        0.1066
BFGS:   24 17:35:58    -3708.942142        0.1017
BFGS:   25 21:09:48    -3708.946911        0.0970
BFGS:   26 00:19:24    -3708.951785        0.1036
BFGS:   27 03:18:45    -3708.957054        0.1074
BFGS:   28 06:05:14    -3708.962540        0.1078
BFGS:   29 09:02:45    -3708.968453        0.1023
BFGS:   30 12:12:53    -3708.975376        0.0974
BFGS:   31 16:22:51    -3708.983590        0.0964
BFGS:   32 19:35:28    -3708.991725        0.0888
BFGS:   33 22:09:38    -3708.999076        0.0831
BFGS:   34 01:12:30    -3709.005405        0.0828
BFGS:   35 04:01:57    -3709.010429        0.0764
BFGS:   36 07:08:21    -3709.014227        0.0649
BFGS:   37 10:00:26    -3709.017252        0.0777
BFGS:   38 12:48:08    -3709.019913        0.0829
BFGS:   39 15:41:12    -3709.022495        0.0766
BFGS:   40 18:48:25    -3709.024984        0.0577
BFGS:   41 22:27:30    -3709.027807        0.0556
BFGS:   42 02:32:40    -3709.031699        0.0551
BFGS:   43 06:54:59    -3709.036028        0.0599
BFGS:   44 10:16:38    -3709.041428        0.0540
BFGS:   45 13:47:24    -3709.045081        0.0526
BFGS:   46 17:26:15    -3709.046713        0.0416
